,Total Pop,Male Pop,Female Pop,Median HH Income,Below Poverty,% Poverty,Youth,Working Age,Seniors,HS or less,Bachelors+,% Foreign-born,% Rent >30% Income,Population 16+,Labor Force,Employed,Unemployment Rate (%),Industry 1,Industry 2,Industry 3,Industry 4,Industry 5,Industry 6,Industry 7,Industry 8,Industry 9,Industry 10,Industry 11,Industry 12,Industry 13,Industry 14,Industry 15,Industry 16,Industry 17,Industry 18,Industry 19,Industry 20,Industry 21,Industry 22,Industry 23,Industry 24,Industry 25,Industry 26,Industry 27,Industry 28
Washington Twp (Warren),6597,3431,3166,131250,346,5.244808246172503,1345,3880,4538,4881,2275,41.41686746987952,45.744680851063826,5473,3643,3643,0.0,0.0,4.881958612649373,7.548819586126494,0.9909647333139028,3.3372194695424073,4.605071407752842,2.5794229087729525,4.47391431069659,7.3010784027980185,9.341299912561936,3.10405129699796,1.7633343048673855,1.501020110754882,21.5097639172253,0.0,0.5829204313611192,3.322646458758379,0.6266394637132032,0.9180996793937628,1.428155056834742,0.684931506849315,1.9236374234916933,3.1769163509180998,5.960361410667444,1.544739143106966,0.9618187117458467,0.3788982803847275,5.552317108714661
Washington Borough,7287,3537,3750,79280,839,11.513654453135722,1915,4364,4758,4947,1442,42.939370683039144,65.04491017964071,5772,3981,3981,0.0,0.24379750466083464,2.294564749749032,5.320522013480568,2.222859601319375,10.29685931449878,2.76781872938477,0.7600745733543668,2.8251828481284957,3.986806252688943,12.878244657966443,4.976337301018213,3.126344471533056,2.8251828481284957,18.456905205793774,0.0,0.1434102968593145,1.9934031263444716,0.24379750466083464,1.018213107701133,0.0,0.7600745733543668,1.434102968593145,1.5201491467087336,7.973612505377886,1.6061953248243226,0.7313925139825039,1.0325541373870644,8.561594722501075
ZIP 07882,14918,7423,7495,100852,1225,8.211556508915404,3355,8928,10130,10639,4003,42.27202130019969,60.429982568274255,12154,8329,8329,0.0,0.11107481215289121,3.5478601764129367,6.141783730806926,1.430904933028422,6.422737667428945,3.8484155504737014,1.5223783077425679,3.7308069258412284,5.573342045083306,11.610584776216923,3.992159425024502,2.273766742894479,2.228030055537406,20.32669062397909,0.0,0.3724273113361647,2.70499836654688,0.3658934988565828,0.875530872263966,0.64031362299902,0.6729826853969292,1.6073178699771318,2.4240444299248614,7.572688663835347,1.5877164325383861,0.7905913100294022,0.7121855602744201,6.912773603397583
